Ehdokasnumero,Sukunimi,Etunimi,Ehdokasnimi,,Puhelin,Email,Postiosoite,Postitoimipaikka,Vaaliliiton ID,Vaaliliitto,Tiedekuntakoodi (random),Huomioita
165,Saaristo,Olli Juhani,"Saaristo, Olli",,,etunimi.sukunimi.163@example.com,Testiosoite 164,10163,Helsinki,19,Keskeiset,O,
166,Sivula,Mika Johannes,"Sivula, Mika",,,etunimi.sukunimi.164@example.com,Testiosoite 165,10164,Helsinki,19,Keskeiset,B,
167,Vuorinen,Simo Antero,"Vuorinen, Simo",,,etunimi.sukunimi.165@example.com,Testiosoite 166,10165,Helsinki,19,Keskeiset,T,
168,Ylimaa,Markus Matti Juhani,"Ylimaa, Markus",,,etunimi.sukunimi.166@example.com,Testiosoite 167,10166,Helsinki,19,Keskeiset,L,
169,Forsberg,Andreas David,"Forsberg, Andreas 'Andy' ",,,etunimi.sukunimi.167@example.com,Testiosoite 168,10167,Helsinki,28,KD Helsingin opiskelijat,MM,
170,Furu,Niklas Joakim,"Furu, Niklas",,,etunimi.sukunimi.168@example.com,Testiosoite 169,10168,Helsinki,28,KD Helsingin opiskelijat,K,
171,Garaisi,Tomas Fozi Johannes,"Garaisi, Tomas",,,etunimi.sukunimi.169@example.com,Testiosoite 170,10169,Helsinki,28,KD Helsingin opiskelijat,E,
172,Kaksonen,Marika Julie,"Kaksonen, Marika",,,etunimi.sukunimi.170@example.com,Testiosoite 171,10170,Helsinki,28,KD Helsingin opiskelijat,H,
173,Kyyhkynen,Suvianna,"Kyyhkynen, Suvianna",,,etunimi.sukunimi.171@example.com,Testiosoite 172,10171,Helsinki,28,KD Helsingin opiskelijat,ML,
174,Kärmeranta,Hanna Riikka,"Kärmeranta, Hanna",,,etunimi.sukunimi.172@example.com,Testiosoite 173,10172,Helsinki,28,KD Helsingin opiskelijat,V,
175,Mikkonen,Tero Hannu Taneli,"Mikkonen, Tero",,,etunimi.sukunimi.173@example.com,Testiosoite 174,10173,Helsinki,28,KD Helsingin opiskelijat,O,
176,Pynnönen,Eerika Katariina,"Pynnönen, Eerika",,,etunimi.sukunimi.174@example.com,Testiosoite 175,10174,Helsinki,28,KD Helsingin opiskelijat,B,
177,Riihimäki,Ilkka Hannu Tapani,"Riihimäki, Ilkka",,,etunimi.sukunimi.175@example.com,Testiosoite 176,10175,Helsinki,28,KD Helsingin opiskelijat,T,
178,Salo,Tuomas Tapio,"Salo, Tuomas",,,etunimi.sukunimi.176@example.com,Testiosoite 177,10176,Helsinki,28,KD Helsingin opiskelijat,L,
179,Simonen,Iiris Isabella,"Simonen, Iiris",,,etunimi.sukunimi.177@example.com,Testiosoite 178,10177,Helsinki,28,KD Helsingin opiskelijat,MM,
180,Starck,Leo Veli Mikael,"Starck, Leo",,,etunimi.sukunimi.178@example.com,Testiosoite 179,10178,Helsinki,28,KD Helsingin opiskelijat,K,
181,Tompuri,Pamela Teresa,"Tompuri, Pamela",,,etunimi.sukunimi.179@example.com,Testiosoite 180,10179,Helsinki,28,KD Helsingin opiskelijat,E,
182,Ventin,Sonja Maria,"Ventin, Sonja",,,etunimi.sukunimi.180@example.com,Testiosoite 181,10180,Helsinki,28,KD Helsingin opiskelijat,H,
183,Holmström,Jenny-Li Alexandra,"Holmström, Jenny-Li",,,etunimi.sukunimi.181@example.com,Testiosoite 182,10181,Helsinki,27,Codex-Thorax,ML,
184,Huldén,Rainer Alexis,"Huldén, Alexis",,,etunimi.sukunimi.182@example.com,Testiosoite 183,10182,Helsinki,27,Codex-Thorax,V,
185,Kuhlefelt,Max Jasper,"Kuhlefelt, Jasper",,,etunimi.sukunimi.183@example.com,Testiosoite 184,10183,Helsinki,27,Codex-Thorax,O,
186,Rantanen,Johanna Valdine,"Rantanen, Johanna",,,etunimi.sukunimi.184@example.com,Testiosoite 185,10184,Helsinki,27,Codex-Thorax,B,
187,Tanskanen,Tuulia Kaijaliina,"Tanskanen, Tuulia",,,etunimi.sukunimi.185@example.com,Testiosoite 186,10185,Helsinki,27,Codex-Thorax,T,
188,Törnblom,Petra Vanessa Helena,"Törnblom, Vanessa",,,etunimi.sukunimi.186@example.com,Testiosoite 187,10186,Helsinki,27,Codex-Thorax,L,
189,Hildén,Erik Oscar Johannes,"Hildén, Oscar",,,etunimi.sukunimi.187@example.com,Testiosoite 188,10187,Helsinki,27,Codex-Thorax,MM,
190,Pipping,Hugo Adrian,"Pipping, Hugo",,,etunimi.sukunimi.188@example.com,Testiosoite 189,10188,Helsinki,27,Codex-Thorax,K,
191,Finne,Jenny Ina,"Finne, Ina",,,etunimi.sukunimi.189@example.com,Testiosoite 190,10189,Helsinki,25,Nationerna,E,
192,Finne,Marie Fredrika,"Finne, Marie 'Mojo'",,,etunimi.sukunimi.190@example.com,Testiosoite 191,10190,Helsinki,25,Nationerna,H,
193,Forsskåhl,Kaj Oskar Petter,"Forsskåhl, Oskar",,,etunimi.sukunimi.191@example.com,Testiosoite 192,10191,Helsinki,25,Nationerna,ML,
194,Husberg,Ida Regina Katarina,"Husberg, Ida",,,etunimi.sukunimi.192@example.com,Testiosoite 193,10192,Helsinki,25,Nationerna,V,
195,Kilpelä,Eliel Johan Sakari,"Kilpelä, Eliel",,,etunimi.sukunimi.193@example.com,Testiosoite 194,10193,Helsinki,25,Nationerna,O,
196,Murto,Armi Helena,"Murto, Armi",,,etunimi.sukunimi.194@example.com,Testiosoite 195,10194,Helsinki,25,Nationerna,B,
197,Scheinin,Elias Theodor,"Scheinin, Elias",,,etunimi.sukunimi.195@example.com,Testiosoite 196,10195,Helsinki,25,Nationerna,T,
198,Engblom,Carl Ronny,"Engbom, Ronny",,,etunimi.sukunimi.196@example.com,Testiosoite 197,10196,Helsinki,25,Nationerna,L,
199,Finnäs,Jens Anders,"Finnäs, Jens",,,etunimi.sukunimi.197@example.com,Testiosoite 198,10197,Helsinki,25,Nationerna,MM,
200,Knip,Sara Sofia Linnea,"Knip, Sara",,,etunimi.sukunimi.198@example.com,Testiosoite 199,10198,Helsinki,25,Nationerna,K,
201,Smeds,Charlotta Anna Erika,"Smeds, Charlotta",,,etunimi.sukunimi.199@example.com,Testiosoite 200,10199,Helsinki,25,Nationerna,E,
202,Sjölund,Carl Stefan Mikael,"Sjölund, Stefan",,,etunimi.sukunimi.200@example.com,Testiosoite 201,10200,Helsinki,25,Nationerna,H,
203,Sundström,Kasper Nils Oskar,"Sundström, Kasper",,,etunimi.sukunimi.201@example.com,Testiosoite 202,10201,Helsinki,25,Nationerna,ML,
204,French,Jenny Maria,"French, Jenny",,,etunimi.sukunimi.202@example.com,Testiosoite 203,10202,Helsinki,25,Nationerna,V,
205,Nordling,Emilia Elisabeth,"Nordling, Emilia",,,etunimi.sukunimi.203@example.com,Testiosoite 204,10203,Helsinki,25,Nationerna,O,
206,Palmén,Anna-Pia Margareta,"Palmén, Anna-Pia",,,etunimi.sukunimi.204@example.com,Testiosoite 205,10204,Helsinki,25,Nationerna,B,
207,Pirinen,Jani Ruben Rickard,"Pirinen, Jani",,,etunimi.sukunimi.205@example.com,Testiosoite 206,10205,Helsinki,25,Nationerna,T,
208,Tallberg,Annette Margaretha,"Tallberg, Annette",,,etunimi.sukunimi.206@example.com,Testiosoite 207,10206,Helsinki,25,Nationerna,L,
209,Andersson,Elin Elisabeth,"Andersson, Elin",,,etunimi.sukunimi.207@example.com,Testiosoite 208,10207,Helsinki,23,StudOrg,MM,
210,Haglund,Mia Maria Katrina,"Haglund, Mia",,,etunimi.sukunimi.208@example.com,Testiosoite 209,10208,Helsinki,23,StudOrg,K,
211,Kyllönen,Rasmus Wilhelm,"Kyllönen, Rasmus",,,etunimi.sukunimi.209@example.com,Testiosoite 210,10209,Helsinki,23,StudOrg,E,
212,Lindström,Anna Liselott,"Lindström, Liselott",,,etunimi.sukunimi.210@example.com,Testiosoite 211,10210,Helsinki,23,StudOrg,H,
213,Metsämäki,Johanna Linnéa,"Metsämäki, Johanna",,,etunimi.sukunimi.211@example.com,Testiosoite 212,10211,Helsinki,23,StudOrg,ML,
214,Ringbom,Karin Elisabeth,"Ringbom, Karin",,,etunimi.sukunimi.212@example.com,Testiosoite 213,10212,Helsinki,23,StudOrg,V,
215,Riska,Johannes Alfred,"Riska, Johannes",,,etunimi.sukunimi.213@example.com,Testiosoite 214,10213,Helsinki,23,StudOrg,O,
216,Sjöholm,Peter Christoffer,"Sjöholm, Peter 'Poppe'",,,etunimi.sukunimi.214@example.com,Testiosoite 215,10214,Helsinki,23,StudOrg,B,
217,Sundberg,Maj Brita,"Sundberg, Maj",,,etunimi.sukunimi.215@example.com,Testiosoite 216,10215,Helsinki,23,StudOrg,T,
218,Tallqvist,John Henrik,"Tallqvist, John",,,etunimi.sukunimi.216@example.com,Testiosoite 217,10216,Helsinki,23,StudOrg,L,
219,Uusikylä,Ulf Erik Julius,"Uusikylä, Julius",,,etunimi.sukunimi.217@example.com,Testiosoite 218,10217,Helsinki,23,StudOrg,MM,
220,Wikström,Joanna Daniela Henrika,"Wikström, Joanna",,,etunimi.sukunimi.218@example.com,Testiosoite 219,10218,Helsinki,23,StudOrg,K,
221,Sandqvist,Oskar,"Sandqvist, Oskar",,,etunimi.sukunimi.219@example.com,Testiosoite 220,10219,Helsinki,31,Ämnesföreningarna,E,
222,Granbohm,Henrika Laura Annina,"Granbohm, Henrika",,,etunimi.sukunimi.220@example.com,Testiosoite 221,10220,Helsinki,31,Ämnesföreningarna,H,
223,Liesipohja,Susanna Birgitta,"Liesipohja, Susanna",,,etunimi.sukunimi.221@example.com,Testiosoite 222,10221,Helsinki,31,Ämnesföreningarna,ML,
224,Venäläinen,Annika Elisa,"Venäläinen, Annika",,,etunimi.sukunimi.222@example.com,Testiosoite 223,10222,Helsinki,31,Ämnesföreningarna,V,
225,Andersson,Timo Tapio,"Andersson, Timo",,,etunimi.sukunimi.223@example.com,Testiosoite 224,10223,Helsinki,32,Liberaalinen vaaliliitto - yksilönvapauden puolesta,O,
226,Sjöström,Kim,"Sjöström, Kim",,,etunimi.sukunimi.224@example.com,Testiosoite 225,10224,Helsinki,32,Liberaalinen vaaliliitto - yksilönvapauden puolesta,B,
227,Vainio,Janne Mikael,"Vainio, Janne",,,etunimi.sukunimi.225@example.com,Testiosoite 226,10225,Helsinki,32,Liberaalinen vaaliliitto - yksilönvapauden puolesta,T,
228,Apter,Ted Daniel,"Apter, Ted",,,etunimi.sukunimi.226@example.com,Testiosoite 227,10226,Helsinki,5,Pykälä,L,
229,Autio,Ilari Alvar,"Autio, Ilari",,,etunimi.sukunimi.227@example.com,Testiosoite 228,10227,Helsinki,5,Pykälä,MM,
230,Blåfield,Eero Antero,"Blåfield, Eero",,,etunimi.sukunimi.228@example.com,Testiosoite 229,10228,Helsinki,5,Pykälä,K,
231,Giss,Heidi Maria Kristiina,"Giss, Heidi",,,etunimi.sukunimi.229@example.com,Testiosoite 230,10229,Helsinki,5,Pykälä,E,
232,Granlund,Aarne Jouni,"Granlund, Aarne",,,etunimi.sukunimi.230@example.com,Testiosoite 231,10230,Helsinki,5,Pykälä,H,
233,Hallikainen,Irene Mirjam,"Hallikainen, Irene",,,etunimi.sukunimi.231@example.com,Testiosoite 232,10231,Helsinki,5,Pykälä,ML,
234,Hokkanen,Minna Marianne,"Hokkanen, Minna",,,etunimi.sukunimi.232@example.com,Testiosoite 233,10232,Helsinki,5,Pykälä,V,
235,Hytönen,Satu Eeva-Johanna,"Hytönen, Satu",,,etunimi.sukunimi.233@example.com,Testiosoite 234,10233,Helsinki,5,Pykälä,O,
236,Kaakkola,Antti Julius,"Kaakkola, Antti",,,etunimi.sukunimi.234@example.com,Testiosoite 235,10234,Helsinki,5,Pykälä,B,
237,Karvinen,Kiti Marjukka,"Karvinen, Kiti",,,etunimi.sukunimi.235@example.com,Testiosoite 236,10235,Helsinki,5,Pykälä,T,
238,Keino,Iiris Niina Katariina,"Keino, Iiris",,,etunimi.sukunimi.236@example.com,Testiosoite 237,10236,Helsinki,5,Pykälä,L,
239,Kerppola,Antti Johan,"Kerppola, Antti",,,etunimi.sukunimi.237@example.com,Testiosoite 238,10237,Helsinki,5,Pykälä,MM,
240,Komulainen,Elina Johanna,"Komulainen, Elina",,,etunimi.sukunimi.238@example.com,Testiosoite 239,10238,Helsinki,5,Pykälä,K,
241,Kortesmaa,Kaisa Laura Irene,"Kortesmaa, Kaisa",,,etunimi.sukunimi.239@example.com,Testiosoite 240,10239,Helsinki,5,Pykälä,E,
242,Koskentausta,Lauri Juhani,"Koskentausta, Lauri",,,etunimi.sukunimi.240@example.com,Testiosoite 241,10240,Helsinki,5,Pykälä,H,
243,Kouhi,Markus Tapio,"Kouhi, Markus",,,etunimi.sukunimi.241@example.com,Testiosoite 242,10241,Helsinki,5,Pykälä,ML,
244,Kylmäniemi,Hanna Linnea,"Kylmäniemi, Hanna",,,etunimi.sukunimi.242@example.com,Testiosoite 243,10242,Helsinki,5,Pykälä,V,
245,Kärki,Eero Antero,"Kärki, Eero",,,etunimi.sukunimi.243@example.com,Testiosoite 244,10243,Helsinki,5,Pykälä,O,
246,Lahtinen,Alpo Olavi,"Lahtinen, Alpo",,,etunimi.sukunimi.244@example.com,Testiosoite 245,10244,Helsinki,5,Pykälä,B,
247,Lassila,Samu Petteri,"Lassila, Samu",,,etunimi.sukunimi.245@example.com,Testiosoite 246,10245,Helsinki,5,Pykälä,T,
248,Lehti,Isabella Annina,"Lehti, Isabella",,,etunimi.sukunimi.246@example.com,Testiosoite 247,10246,Helsinki,5,Pykälä,L,
249,Lindholm,Kristiina Annukka,"Lindholm, Kristiina",,,etunimi.sukunimi.247@example.com,Testiosoite 248,10247,Helsinki,5,Pykälä,MM,
250,Linnankoski,Manuel Tähti,"Linnankoski, Manuel",,,etunimi.sukunimi.248@example.com,Testiosoite 249,10248,Helsinki,5,Pykälä,K,
251,Markkanen,Otto,"Markkanen, Otto",,,etunimi.sukunimi.249@example.com,Testiosoite 250,10249,Helsinki,5,Pykälä,E,
252,Mattila,Olli-Pekka Sakari,"Mattila, Olli-Pekka",,,etunimi.sukunimi.250@example.com,Testiosoite 251,10250,Helsinki,5,Pykälä,H,
253,Merenmies,Matilda Aurora,"Merenmies, Matilda",,,etunimi.sukunimi.251@example.com,Testiosoite 252,10251,Helsinki,5,Pykälä,ML,
254,Metsämäki,Joonas Akseli,"Metsämäki, Joonas",,,etunimi.sukunimi.252@example.com,Testiosoite 253,10252,Helsinki,5,Pykälä,V,
255,Muinonen,Kaisa Tellervo,"Muinonen, Kaisa",,,etunimi.sukunimi.253@example.com,Testiosoite 254,10253,Helsinki,5,Pykälä,O,
256,Männistö,Johanna Maria,"Männistö, Johanna",,,etunimi.sukunimi.254@example.com,Testiosoite 255,10254,Helsinki,5,Pykälä,B,
257,Nieminen,Tero Seppo Ilari,"Nieminen, Tero",,,etunimi.sukunimi.255@example.com,Testiosoite 256,10255,Helsinki,5,Pykälä,T,
258,Paajanen,Panu Juhana,"Paajanen, Panu",,,etunimi.sukunimi.256@example.com,Testiosoite 257,10256,Helsinki,5,Pykälä,L,
259,Paajanen,Sini Helena,"Paajanen, Sini",,,etunimi.sukunimi.257@example.com,Testiosoite 258,10257,Helsinki,5,Pykälä,MM,
260,Rehula,Tero Kalevi,"Rehula, Tero",,,etunimi.sukunimi.258@example.com,Testiosoite 259,10258,Helsinki,5,Pykälä,K,
261,Rudanko,Mikko Jorma Johannes,"Rudanko, Mikko",,,etunimi.sukunimi.259@example.com,Testiosoite 260,10259,Helsinki,5,Pykälä,E,
262,Rytkönen,Tuomas Erik Johannes,"Rytkönen, Tuomas",,,etunimi.sukunimi.260@example.com,Testiosoite 261,10260,Helsinki,5,Pykälä,H,
263,Ryynänen,Kalle Elias Markunpoika,"Ryynänen, Kalle",,,etunimi.sukunimi.261@example.com,Testiosoite 262,10261,Helsinki,5,Pykälä,ML,
264,Salli,Saku Pekka,"Salli, Saku",,,etunimi.sukunimi.262@example.com,Testiosoite 263,10262,Helsinki,5,Pykälä,V,
265,Salo,Jussi Jaakko Sakari,"Salo, Jussi",,,etunimi.sukunimi.263@example.com,Testiosoite 264,10263,Helsinki,5,Pykälä,O,
266,Supperi,Iina-Mari,"Supperi, Iina-Mari",,,etunimi.sukunimi.264@example.com,Testiosoite 265,10264,Helsinki,5,Pykälä,B,
267,Säteri,Johanna Maria,"Säteri, Johanna",,,etunimi.sukunimi.265@example.com,Testiosoite 266,10265,Helsinki,5,Pykälä,T,
268,Termonen,Jon Emil,"Termonen, Jon",,,etunimi.sukunimi.266@example.com,Testiosoite 267,10266,Helsinki,5,Pykälä,L,
269,Tuohimaa,Kiira Sofia,"Tuohimaa, Kiira",,,etunimi.sukunimi.267@example.com,Testiosoite 268,10267,Helsinki,5,Pykälä,MM,
270,Viljanen,Jesse Juhana,"Viljanen, Jesse",,,etunimi.sukunimi.268@example.com,Testiosoite 269,10268,Helsinki,5,Pykälä,K,
271,Vilkko,Nelli Pauliina,"Vilkko, Nelli",,,etunimi.sukunimi.269@example.com,Testiosoite 270,10269,Helsinki,5,Pykälä,E,
272,Ahmed,Haji Omar Abdirisak,"Ahmed, Abdirisak",,,etunimi.sukunimi.270@example.com,Testiosoite 271,10270,Helsinki,7,LKS / HLKS,H,
273,Aspelund,Markus Aleksanteri,"Aspelund, Aleksanteri",,,etunimi.sukunimi.271@example.com,Testiosoite 272,10271,Helsinki,7,LKS / HLKS,ML,
274,Gogulski,Juha Daniel,"Gogulski, Juha",,,etunimi.sukunimi.272@example.com,Testiosoite 273,10272,Helsinki,7,LKS / HLKS,V,
275,Kaprio,Tuomas Juho Arthur,"Kaprio, Tuomas",,,etunimi.sukunimi.273@example.com,Testiosoite 274,10273,Helsinki,7,LKS / HLKS,O,
276,Koivunen,Riku-Jaakko,"Koivunen, Riku",,,etunimi.sukunimi.274@example.com,Testiosoite 275,10274,Helsinki,7,LKS / HLKS,B,
277,Lommi,Markus Juhani,"Lommi, Markus",,,etunimi.sukunimi.275@example.com,Testiosoite 276,10275,Helsinki,7,LKS / HLKS,T,
278,Rautiola,Juhana Aarni Kaleva,"Rautiola, Juhana",,,etunimi.sukunimi.276@example.com,Testiosoite 277,10276,Helsinki,7,LKS / HLKS,L,
279,Salminen,Ville Sameli,"Salminen, Ville",,,etunimi.sukunimi.277@example.com,Testiosoite 278,10277,Helsinki,7,LKS / HLKS,MM,
280,Sipilä,Pyry Nestori,"Sipilä, Pyry",,,etunimi.sukunimi.278@example.com,Testiosoite 279,10278,Helsinki,7,LKS / HLKS,K,
281,Suomalainen,Olli Pekka,"Suomalainen, Olli",,,etunimi.sukunimi.279@example.com,Testiosoite 280,10279,Helsinki,7,LKS / HLKS,E,
282,Tamminen,Henni Tuulia,"Tamminen, Henni",,,etunimi.sukunimi.280@example.com,Testiosoite 281,10280,Helsinki,7,LKS / HLKS,H,
283,Torkki,Matias Ilmari,"Torkki, Matias",,,etunimi.sukunimi.281@example.com,Testiosoite 282,10281,Helsinki,7,LKS / HLKS,ML,
284,Valle,Jussi Tapani,"Valle, Jussi",,,etunimi.sukunimi.282@example.com,Testiosoite 283,10282,Helsinki,7,LKS / HLKS,V,
285,Vangelova,Velina,"Vangelova, Velina",,,etunimi.sukunimi.283@example.com,Testiosoite 284,10283,Helsinki,7,LKS / HLKS,O,
286,Yoder,Käthe Susanna,"Yoder, Käthe",,,etunimi.sukunimi.284@example.com,Testiosoite 285,10284,Helsinki,7,LKS / HLKS,B,
287,Bruce,Anne Pauliina,"Bruce, Anne",,,etunimi.sukunimi.285@example.com,Testiosoite 286,10285,Helsinki,11,EKY,T,
288,von Freymann,Sebastian,"von Freymann, Sebastian",,,etunimi.sukunimi.286@example.com,Testiosoite 287,10286,Helsinki,11,EKY,L,
289,Hakanen,Anni Kaarina,"Hakanen, Anni",,,etunimi.sukunimi.287@example.com,Testiosoite 288,10287,Helsinki,11,EKY,MM,
290,Helin,Henriikka,"Helin, Henriikka",,,etunimi.sukunimi.288@example.com,Testiosoite 289,10288,Helsinki,11,EKY,K,
291,Hämäläinen,Karoliina Emilia,"Hämäläinen, Karoliina",,,etunimi.sukunimi.289@example.com,Testiosoite 290,10289,Helsinki,11,EKY,E,
292,Immonen,Isa Anna Maria,"Immonen, Isa",,,etunimi.sukunimi.290@example.com,Testiosoite 291,10290,Helsinki,11,EKY,H,
293,Jokinen,Olli Oskari,"Jokinen, Olli",,,etunimi.sukunimi.291@example.com,Testiosoite 292,10291,Helsinki,11,EKY,ML,
294,Kallio-Kujala,Ira Janika,"Kallio-Kujala, Ira",,,etunimi.sukunimi.292@example.com,Testiosoite 293,10292,Helsinki,11,EKY,V,
295,Kiimamaa,Raisa Johanna Tuulia,"Kiimamaa, Raisa",,,etunimi.sukunimi.293@example.com,Testiosoite 294,10293,Helsinki,11,EKY,O,
296,Kilpeläinen,Miika Antti Johannes,"Kilpeläinen, Miika",,,etunimi.sukunimi.294@example.com,Testiosoite 295,10294,Helsinki,11,EKY,B,
297,Mäkelä,Anna-Leena,"Mäkelä, Anna-Leena",,,etunimi.sukunimi.295@example.com,Testiosoite 296,10295,Helsinki,11,EKY,T,
298,Niinimäki,Heini Maria,"Niinimäki, Heini",,,etunimi.sukunimi.296@example.com,Testiosoite 297,10296,Helsinki,11,EKY,L,
299,Riihimäki,Aino Marja,"Riihimäki, Aino",,,etunimi.sukunimi.297@example.com,Testiosoite 298,10297,Helsinki,11,EKY,MM,
300,Sivonen,Kaija Sofia,"Sivonen, Kaija",,,etunimi.sukunimi.298@example.com,Testiosoite 299,10298,Helsinki,11,EKY,K,
301,Sukura,Okko Arttu Kalle,"Sukura, Okko",,,etunimi.sukunimi.299@example.com,Testiosoite 300,10299,Helsinki,11,EKY,E,
302,Tuominen,Elli Orvokki,"Tuominen, Elli",,,etunimi.sukunimi.300@example.com,Testiosoite 301,10300,Helsinki,11,EKY,H,
303,Grönroos,Simo Juhani,"Grönroos, Simo",,,etunimi.sukunimi.301@example.com,Testiosoite 302,10301,Helsinki,30,Perussuomalainen vaaliliitto,ML,
304,Nieminen,Marko Johannes,"Nieminen, Johannes",,,etunimi.sukunimi.302@example.com,Testiosoite 303,10302,Helsinki,30,Perussuomalainen vaaliliitto,V,
305,Lahtinen,Teemu Ilkka Antero,"Lahtinen, Teemu",,,etunimi.sukunimi.303@example.com,Testiosoite 304,10303,Helsinki,30,Perussuomalainen vaaliliitto,O,
306,Ahola,Riku Jussi,"Ahola, Riku",,,etunimi.sukunimi.304@example.com,Testiosoite 305,10304,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,B,
307,Alhojärvi,Lauri Väinö Johannes,"Alhojärvi, Lauri",,,etunimi.sukunimi.305@example.com,Testiosoite 306,10305,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,T,
308,Alhojärvi,Tuomo Veli Juhana,"Alhojärvi, Tuomo",,,etunimi.sukunimi.306@example.com,Testiosoite 307,10306,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,L,
309,Alvarez Gomez,Sebastian Joel,"Alvarez, Sebastian",,,etunimi.sukunimi.307@example.com,Testiosoite 308,10307,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,MM,
310,Bennour,Nayer,"Bennour, Nayer",,,etunimi.sukunimi.308@example.com,Testiosoite 309,10308,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,K,
311,Bruun,Otto Einar,"Bruun, Otto",,,etunimi.sukunimi.309@example.com,Testiosoite 310,10309,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,E,
312,Eranti,Veikko Oskari,"Eranti, Veikko",,,etunimi.sukunimi.310@example.com,Testiosoite 311,10310,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,H,
313,Friman,Tuula Irene,"Friman, Tuula",,,etunimi.sukunimi.311@example.com,Testiosoite 312,10311,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,ML,
314,Guillén,Jan Edgardo,"Guillén, Jan",,,etunimi.sukunimi.312@example.com,Testiosoite 313,10312,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,V,
315,Heinonen,Pijatta Maaria,"Heinonen, Pijatta",,,etunimi.sukunimi.313@example.com,Testiosoite 314,10313,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,O,
316,Heinonen,Tatu Elias,"Heinonen, Tatu",,,etunimi.sukunimi.314@example.com,Testiosoite 315,10314,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,B,
317,Häkkinen,Lari Valtteri,"Häkkinen, Lari",,,etunimi.sukunimi.315@example.com,Testiosoite 316,10315,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,T,
318,Hämäläinen,Anssi-Petteri,"Hämäläinen, Anssi",,,etunimi.sukunimi.316@example.com,Testiosoite 317,10316,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,L,
319,Immonen,Meri Katri Maria,"Immonen, Katri",,,etunimi.sukunimi.317@example.com,Testiosoite 318,10317,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,MM,
320,Iso-Markku,Antti Juho,"Iso-Markku, Antti",,,etunimi.sukunimi.318@example.com,Testiosoite 319,10318,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,K,
321,Iso-Markku,Outi Maarit,"Iso-Markku, Outi",,,etunimi.sukunimi.319@example.com,Testiosoite 320,10319,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,E,
322,Järviö,Nina Anna Kristiina,"Järviö, Nina",,,etunimi.sukunimi.320@example.com,Testiosoite 321,10320,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,H,
323,Kangas,Heidi Susanna,"Kangas, Heidi",,,etunimi.sukunimi.321@example.com,Testiosoite 322,10321,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,ML,
324,Kiviluoto,Oona Marjut Onerva,"Kiviluoto, Oona",,,etunimi.sukunimi.322@example.com,Testiosoite 323,10322,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,V,
325,Koivulaakso,Dan Mikael,"Koivulaakso, Dan",,,etunimi.sukunimi.323@example.com,Testiosoite 324,10323,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,O,
326,Konttinen,Iiris Maria Alina,"Konttinen, Iiris",,,etunimi.sukunimi.324@example.com,Testiosoite 325,10324,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,B,
327,Korhonen,Juho Topias,"Korhonen, Juho",,,etunimi.sukunimi.325@example.com,Testiosoite 326,10325,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,T,
328,Korhonen,Mikko Petteri,"Korhonen, Mikko",,,etunimi.sukunimi.326@example.com,Testiosoite 327,10326,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,L,
329,Korhonen,Sara Helen,"Korhonen, Sara",,,etunimi.sukunimi.327@example.com,Testiosoite 328,10327,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,MM,
330,Korkkula,Vesa Kalervo,"Korkkula, Vesa",,,etunimi.sukunimi.328@example.com,Testiosoite 329,10328,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,K,
331,Kuokkanen,Juho Sakari,"Kuokkanen, Juho",,,etunimi.sukunimi.329@example.com,Testiosoite 330,10329,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,E,
332,Lehtimäki,Tomi Henrik,"Lehtimäki, Tomi",,,etunimi.sukunimi.330@example.com,Testiosoite 331,10330,Helsinki,2,Sitoutumaton vasemmisto - Obunden vänster - Independent left,H,
